         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
        1    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       95    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:41(_wrapit)
      106    0.000    0.000    0.000    0.000 _parser.py:239(__next)
        6    0.000    0.000    0.000    0.000 {built-in method nt.close}
       13    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
       12    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        1    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        1    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       19    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        2    0.000    0.000    0.000    0.000 __init__.py:400(__getattr__)
       24    0.000    0.000    0.000    0.000 contextlib.py:552(_push_exit_callback)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       17    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       28    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8ABE328A0}
        1    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 config.py:86(get_setting)
        1    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
        1    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       19    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 proglog.py:298(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       50    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 std.py:1157(__hash__)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        8    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
