         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2162/2033    0.005    0.000    0.007    0.000 _compiler.py:439(_get_literal_prefix)
      920    0.001    0.000    0.007    0.000 YoutubeDL.py:1065(_format_text)
        1    0.000    0.000    0.007    0.007 embedthumbnail.py:1(<module>)
    27332    0.007    0.000    0.007    0.000 _parser.py:112(__init__)
        4    0.000    0.000    0.007    0.002 _base.py:730(generate_api_headers)
       43    0.001    0.000    0.007    0.000 cookies.py:1378(get_cookies_for_url)
     3468    0.004    0.000    0.007    0.000 _parser.py:448(_uniq)
        1    0.000    0.000    0.007    0.007 hls.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _base.py:702(extract_ytcfg)
        1    0.000    0.000    0.006    0.006 parser.py:1(<module>)
      852    0.005    0.000    0.006    0.000 _compiler.py:389(_mk_bitmap)
      898    0.006    0.000    0.006    0.000 encoder.py:205(iterencode)
     2039    0.006    0.000    0.006    0.000 {built-in method _sre.compile}
       11    0.002    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1675(_fill_cache)
       69    0.001    0.000    0.006    0.000 networking.py:271(normalize_url)
     3648    0.004    0.000    0.006    0.000 parse.py:119(_coerce_args)
    27417    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     11/1    0.000    0.000    0.006    0.006 YoutubeDL.py:2451(_build_selector_function)
       92    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      920    0.004    0.000    0.006    0.000 minicurses.py:33(format_text)
     1108    0.001    0.000    0.005    0.000 _utils.py:732(sanitize_url)
        1    0.000    0.000    0.005    0.005 plugins.py:244(load_all_plugins)
        2    0.000    0.000    0.005    0.003 plugins.py:195(load_plugins)
        1    0.000    0.000    0.005    0.005 webvtt.py:1(<module>)
        1    0.000    0.000    0.005    0.005 YoutubeDL.py:1(<module>)
        6    0.000    0.000    0.005    0.001 models.py:351(prepare)
        3    0.000    0.000    0.005    0.002 _video.py:3556(<lambda>)
        3    0.000    0.000    0.005    0.002 common.py:1500(_html_search_meta)
        3    0.000    0.000    0.005    0.002 common.py:1371(_html_search_regex)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1326(exec_module)
    17616    0.005    0.000    0.005    0.000 _utils.py:2750(<genexpr>)
        1    0.000    0.000    0.005    0.005 ffmpeg.py:1(<module>)
       58    0.000    0.000    0.005    0.000 _base.py:507(_get_default_ytcfg)
       24    0.000    0.000    0.005    0.000 url.py:367(parse_url)
      946    0.001    0.000    0.005    0.000 _utils.py:1980(urljoin)
  1914/58    0.002    0.000    0.005    0.000 copy.py:119(deepcopy)
       28    0.000    0.000    0.005    0.000 YoutubeDL.py:1363(create_key)
       92    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
3124/3088    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FF8ABE328A0}
       45    0.003    0.000    0.005    0.000 url.py:227(_encode_invalid_chars)
   174/58    0.001    0.000    0.005    0.000 copy.py:218(_deepcopy_dict)
     3906    0.002    0.000    0.005    0.000 lazy_extractors.py:72(<genexpr>)
        8    0.000    0.000    0.005    0.001 common.py:3638(_get_cookies)
        4    0.000    0.000    0.005    0.001 _base.py:710(_generate_cookie_auth_headers)
      182    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      105    0.000    0.000    0.005    0.000 decoder.py:340(decode)
        2    0.000    0.000    0.004    0.002 plugins.py:176(iter_modules)
    10127    0.003    0.000    0.004    0.000 _parser.py:82(groups)
       14    0.000    0.000    0.004    0.000 cookiejar.py:1356(add_cookie_header)
      602    0.001    0.000    0.004    0.000 YoutubeDL.py:3916(simplified_codec)
        3    0.000    0.000    0.004    0.001 YoutubeDL.py:2121(_build_format_filter)
       60    0.000    0.000    0.004    0.000 plugins.py:149(find_spec)
     7693    0.003    0.000    0.004    0.000 YoutubeDL.py:3979(<genexpr>)
        2    0.000    0.000    0.004    0.002 plugins.py:131(search_locations)
    16559    0.004    0.000    0.004    0.000 {method 'partition' of 'str' objects}
     1808    0.004    0.000    0.004    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.004    0.004 adobepass.py:1(<module>)
    12640    0.004    0.000    0.004    0.000 {method 'find' of 'bytearray' objects}
     1044    0.002    0.000    0.004    0.000 parse.py:536(urlunsplit)
     1062    0.002    0.000    0.004    0.000 __init__.py:460(_replace)
       57    0.000    0.000    0.004    0.000 cookiejar.py:1290(_cookies_for_request)
      704    0.003    0.000    0.004    0.000 jsinterp.py:88(_js_ternary)
        1    0.000    0.000    0.004    0.004 common.py:2088(_parse_m3u8_formats_and_subtitles)
      221    0.000    0.000    0.004    0.000 _strptime.py:343(pattern)
        1    0.000    0.000    0.004    0.004 lazy_extractors.py:182(suitable)
       56    0.000    0.000    0.004    0.000 cookiejar.py:1272(_cookies_for_domain)
        4    0.000    0.000    0.004    0.001 lazy_extractors.py:7444(suitable)
        6    0.000    0.000    0.004    0.001 common.py:1026(__decode_webpage)
       92    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2082    0.002    0.000    0.004    0.000 enum.py:695(__call__)
        6    0.000    0.000    0.004    0.001 _requests.py:193(get_connection_with_tls_context)
      523    0.001    0.000    0.004    0.000 _utils.py:2678(try_get)
      108    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
